id,name,code,measureName,is_ingredient
59847491-2356-406f-9e7f-f8e78561e65a,Cumin powder,12,,0
f582e04a-36c9-447a-9861-9d1547221223,Arugula,36,,0
c4ddb80e-2aaf-4189-9739-ca924653e7e6,Summmertime madness smoothy,277,,0
2806f8f3-a2ce-4549-a855-e1eef59d5b28,caramel,103,,0
cdf752b4-5553-49dc-9155-6acb452b0a83,smoked paprika,31,,0
099d5002-07ec-4329-97b0-b260112755d6,milk,43,,0
578740e0-326c-4957-806d-d7bf8a061d1a,brecel,102,,0
8b72dced-cff4-4730-a4fb-1ff6c07a00a7,salt,10,,0
a0f17031-a7b4-4725-a383-090acd516f03,cocao powder,89,,0
d3daf9c5-c805-4b79-86c2-6a371d9055d7,danish rye,84,,0
91727b8e-da88-4920-ada4-c1dadd91bb9c,dill,26,,0
35e4d496-2730-42e0-aaae-ee204e915d6c,decaf coffee beans,259,,0
30e342f7-aafd-4486-b4f1-3c0217e792d6,sand cookies,90,,0
37fd1a84-31f1-4a79-8ffe-e7c6af1585b5,Coriander ground,11,,0
9194268b-fbcd-4c10-bd66-92361160ca8a,ricotta,77,,0
227f5fd5-ac4c-4a9f-ae19-ab440d028ce4,soda water,95,,0
7caff932-546f-4031-b7a9-04a82ec59962,eggplant,80,,0
2bba7486-15c4-4808-9d29-a4a4ae606b1a,mayo,40,,0
a1ea5899-8742-4266-bf08-70562dacde7a,chocolate chips,88,,0
fe26c7c8-7e6a-41c8-a7d0-abc7d486bd92,black pepper,24,,0
fdb5bc7b-3dc9-469f-b436-ae1065e794a9,Beetroot,4,,0
ffc3b7a1-612f-451a-91b3-365ffe4323a1,fetta cheese,57,,0
626fc810-548b-4519-93b7-27b99dd61b19,granolla,211,,0
15f727af-ad64-4960-a1e4-f4e50b70eb74,cheddar slice,34,,0
b57f6a39-4201-4a71-879e-9e9a1863c7bb,shrimps frozen,180,,0
e19b29f2-7e61-4ca2-a285-b77ecd4a3ae5,pineapple,87,,0
9bac5140-1a98-442c-940d-ea4b9329d437,Buckwheat tea,261,,0
8e829ea4-c3a8-4817-8095-7512006617ea,Royal earl grey tea,265,,0
793f07ee-7561-4afc-9000-126677a6fcea,Brioche with prosciutto and pears,346,,0
2f363390-d09c-4577-87a4-9eb274776166,Brioche with salmon and truffle hollandise,347,,0
c62dac82-b046-4bbd-aa23-1b64b2a6f913,King cottage pie s/f,351,,0
bb4de7dc-b786-4963-8f79-0b00ff873ade,Almond,354,,0
925fdc0b-896c-47a2-9551-aa4790b1f743,brioche Shokopan,344,,0
45868196-7740-4016-bada-27f71704af0a,pear,345,,0
b2243961-e868-4dd5-b61f-dcb298305bc8,sparkling water,348,,0
2142dd5d-3e6d-4317-9b0a-a56f1ccc652c,sunflower seeds,355,,0
e844cc42-0146-4680-b887-769cc3fe1ecf,walnut,353,,0
ee58dd53-90ba-41be-812e-2bb034dbbfeb,Chia seeds,356,,0
a7fc6d58-d79a-40c5-938b-4c49dbd366e6,Dried dates,357,,0
49c78cec-fbfa-4346-a13b-af02769d0ed1,condinsed milk,358,,0
9121a8cc-dd8b-4574-b48e-38c8e68ff06d,Raisin,359,,0
dc04cac7-3f6a-448a-9417-f330ec3f9570,ice cubes,361,,0
7e17d022-ede2-4cb1-bffb-c044f1b2702b,Water Clio,238,,0
4a14fdaa-ca1f-4dc4-9520-1938e009aa16,equipment,362,,0
82eb0745-5f64-4d37-b086-3e968b49563b,kitchen napkins,364,,0
48a9a2a5-8ccd-4351-84b4-69c6f5fb50f7,pen,365,,0
829d439a-c61f-44ba-b457-8964f9edbbd4,packaging and cash area ,367,,0
eb061b04-ca86-45c2-a00d-a536601914d9,key safety box,366,,0
e4f42b59-04fc-4691-b0f7-b22bb0b22311,mandarin,368,,0
afd0baa8-fe81-4f40-a55c-460805b4e78f,onion,369,,0
d83fbe49-7cb5-4a8f-a5e1-b7376f1021ad,bimoil,370,,0
442c7768-9457-4efc-b788-15759b62faef,grated coconut,371,,0
6d18420f-f1c3-4b7a-a006-acaf2bf36566,Coriander fresh,372,,0
9d7681e6-e560-40cf-8548-be17c0bc3dd4,Sunlite,373,,0
0915ee06-9a87-4726-83e9-b845e9709dc3,gas portable,374,,0
abd602aa-7db6-40b0-8126-5df9bc44a099,gas,375,,0
3b1b89b7-f27f-405f-93be-3ee10952517a,Coconut milk iced,232,,0
954a4799-a13e-4b9f-84d7-b7380190727f,Coconut milk,220,,0
74c21f55-279c-4a6f-b022-63f262574ffb,Coconut milk small,233,,0
8e85e87c-5df8-453e-9bc0-ca9ecb6a0810,jeruk lumajang,382,,0
6ffd448c-8226-4ab5-8295-2b232f27518b,Strawberry fresh,384,,0
f0a3a575-4c14-47da-a1dd-7270b89b6b7b,Chickpea seeds,385,,0
8b57d773-aefa-4c97-aac0-4cbc254d9f26,Tuna canned,386,,0
aebffe0a-8338-494d-ac2b-d2b5125e30cb,Public utilites,388,,0
2c0d2098-f9ec-4a57-8233-10344b67b1a0,Printing,390,,0
