name,id,code
Toko Jaya Abadi,86c9dbfd-cbe8-4019-bac0-782575d4a736,118
Toko Mertasari,e8b86fc5-eef3-4ba6-961d-cee685f02af2,149
Toko grill,0d29a50c-462a-4aff-9770-89f385ffe935,179
Tokopedia,34f44052-2906-4e1d-a383-9d3064dca92c,138
Trash compamy,2a0c72f6-bbbe-49f7-9eef-f39d526f2c7a,57
Tropical Juice Bar,e5f9c07f-31f3-4fa3-9c73-388275a5f589,89
UD. FORTUNA BALI,ed734225-e4fa-4acd-b036-2effd1a758ec,99
UD. Widi Wiguna,5c6bd504-32f9-4f2f-a0e5-2c09fdfa5a1d,9
Umar sahit,614761b4-3bb2-4742-aca5-51757b846cf4,95
Valenta Agung Kinasih,97481179-0c0a-4196-8d79-ff962be96249,114
Warung Adi jaya,a733df35-5b7f-4913-8d3a-df1c5c56198c,111
Warung Luh Made,be1875c2-9b92-42a9-b6fe-ad133aa05487,160
Wayan Susila,761a487f-f448-441a-a462-5537a5c9a429,125
Witha Acrylic,298189e9-7b00-49e5-990b-b7d6cc38ed22,142
Yumico package,b822367f-fda8-456f-bafd-0b827d1e0819,43
arvy furniture and steal,936d6acc-7805-4838-8f77-7f54d6754a8e,59
bali cleaning plus,a63238b0-8aec-4033-bbc8-1913b20f19c1,70
bawati anggi reviana,13f0bcd3-ca17-4675-a0aa-e54fb201e995,83
chahaya bakti,3c6984f6-e20e-4450-a362-c4a6a2c8a0d0,49
cv. samudra artha jaya,d36cd712-e383-4407-afea-67e58de48280,13
cv.bali blessindo,dde23f22-1290-489a-b717-2c166a6e729f,14
employee,9ce68271-2212-4f1f-b0d3-d37ba374744a,93
fresh coconut supplier,66d21d63-cecc-4d8d-9595-4b27471b4158,22
go jack,cd280322-b5ee-4e2d-8851-2dc7b433e863,53
grab,123f8750-3e59-447d-9f3b-558be1ef89c6,126
kurnia megah boga perkasa,636ef401-c48d-40e6-b3ff-bf08403c940b,91
louis garden,2fccc917-49f1-4754-a6f9-310079d5f9ea,58
milk up,5b0e80ad-b2cd-4d86-8a28-bd343d2208a1,25
nena cafe,52411966-91f2-404a-8c6a-ac2ae6c97316,86
ni ayu kadek wardati,dbe8dcde-a754-4863-9d97-fe87c046667f,97
ni wayan suwela,8e4a188c-fa19-4575-8796-da4fbc33a8e8,96
pt Mandala kriya utama,a73cc876-bca3-475e-bf04-2a95377b5e6d,68
pt bali pawidahan,7df1d095-3ccf-492e-8e46-f4cc1ff8e835,71
pt raja niaga mahaputra,4a062f00-a309-4f67-876b-402518cec966,176
pt sumber rejeki sentosa,cfbeb70c-234a-4b14-a9a7-e5a6ac51848e,182
pt suparma tbk,61f91fb5-33a1-41ac-9d63-d46e28691d18,67
pt. Abyakta muda karya,bf1496f2-c434-43b7-8da5-bac2c5c29351,62
pt. Kahf Artisan indonesia,4a3b8d7f-a9a1-49c2-ad5f-b37638c60239,74
pt. Trenti Indonesia,98583df9-f991-41c2-8916-9dbb550a4a89,73
pt. bali pick fresh,a25e91be-2952-4661-be35-e85752579efc,15
pt. cahaya anugerah pertiwi,843c8868-5877-46dc-b507-c40f6acfd34a,16
pt. ladang roti kreatif,07da1664-e5e3-44eb-950d-926b573e783c,24
pt. my horeca tech asia,5787a5dd-5118-46e6-9ad1-e169c83bd040,63
pt. nico boulangerie patisserie,681a9faf-ef45-41ea-9829-da8910948c4b,23
pt. pangan dewi laksmi,a8d2f819-6b39-4f94-baac-51172aaa2222,56
pt. pigmen permata persada,ad9b831c-eefe-45da-85f0-23bc42db5d5e,51
pt. satria pangan sejati,bfca1707-0673-4644-9242-7099122b62ea,45
pt. tujuh pagi bali,ee27ba4a-a461-4af8-a5d1-774733c8f921,21
soap supplier,1004957d-dc5d-4785-97e0-96d96f42dced,80
sofyan faris,9a9c3349-1e76-4725-943a-fd7cd4eecbeb,82
sun supplier,0a29643b-28e4-40fc-9d88-2f61879d852d,20
sunshine food  and co,9304d436-a68d-4461-9311-e5191aa5d954,79
sutria pangan sejati,d31d3c28-553c-4172-b2b1-6dab5783ca62,76
toko,5baff056-360c-45ad-86ed-b216498b95bb,18
ud. aneka tehnik,ae4269e0-86d2-42d8-a114-37ebdcb4b1f7,42
ud. maha putra,4753caea-2179-4690-9aeb-e944050a53ec,37
ud. mahendra putra,6b7265a8-4ffd-48b5-b851-37e5b4b56a7b,26
wheatfields,77c4e963-d09b-4625-b9bf-944ef15e4a4d,180
